rank,type,extrapolation_confidence,disease,drug,relation,target_subgroup,expected_information_gain,cost,eig_per_cost,equity_gain,post_mean_majority,post_mean_minority,rationale
1,A,1.000,langerhans cell histiocytosis,cladribine,off-label use,IV-VI,0.9250,6.25,0.1480,0.9250,0.532,0.555,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
2,A,1.000,rosacea,chlortetracycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
3,A,1.000,rosacea,clindamycin,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
4,A,1.000,rosacea,demeclocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
5,A,1.000,rosacea,doxycycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
6,A,1.000,rosacea,fusidic acid,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
7,A,1.000,rosacea,meclocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
8,A,1.000,rosacea,minocycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
9,A,1.000,rosacea,oxytetracycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
10,A,1.000,rosacea,sulfacetamide,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
11,A,1.000,rosacea,tetracycline,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
12,A,1.000,rosacea,urea,off-label use,IV-VI,0.8758,5.26,0.1664,0.8758,0.528,0.549,"Type A: majority evidence weight 9.1, minority 4.6 (51% of majority). Approved indication, under-tested in IV-VI."
13,A,1.000,lyme disease,amoxicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
14,A,1.000,lyme disease,benzylpenicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
15,A,1.000,lyme disease,cefotaxime,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
16,A,1.000,lyme disease,ceftriaxone,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
17,A,1.000,lyme disease,clarithromycin,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
18,A,1.000,lyme disease,doxycycline,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
19,A,1.000,lyme disease,fusidic acid,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
20,A,1.000,lyme disease,phenoxymethylpenicillin,off-label use,IV-VI,0.8132,3.85,0.2114,0.8132,0.527,0.542,"Type A: majority evidence weight 9.5, minority 5.7 (60% of majority). Approved indication, under-tested in IV-VI."
21,A,1.000,langerhans cell histiocytosis,bleomycin,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
22,A,1.000,langerhans cell histiocytosis,carmustine,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
23,A,1.000,langerhans cell histiocytosis,doxorubicin,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
24,A,1.000,langerhans cell histiocytosis,mechlorethamine,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
25,A,1.000,langerhans cell histiocytosis,methotrexate,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
26,A,1.000,langerhans cell histiocytosis,rituximab,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
27,A,1.000,langerhans cell histiocytosis,thiotepa,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
28,A,1.000,langerhans cell histiocytosis,uracil mustard,indication,IV-VI,0.7752,6.25,0.1240,0.7752,0.947,0.909,"Type A: majority evidence weight 7.9, minority 3.9 (49% of majority). Approved indication, under-tested in IV-VI."
