rank,disease,severity,directional_equity_score,aggregate_ceg,max_ceg,n_edges,n_majority_evidenced,n_minority_evidenced,representation_deficit,rationale
1,cutaneous anthrax,moderate,0.0208,0.5896,0.6169,12,0,12,-11.000,"12 edges, 0 with majority (I-III) evidence, 12 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.65 → directional=0.02 (minority underserved)."
2,pyoderma gangrenosum,moderate,0.0084,0.6648,0.7060,3,0,3,-2.000,"3 edges, 0 with majority (I-III) evidence, 3 with minority (IV-VI) evidence; majority post mean 0.69, minority post mean 0.68 → directional=0.01 (minority underserved)."
3,langerhans cell histiocytosis,mild,0.0027,0.0761,0.0787,20,20,20,0.000,"20 edges, 20 with majority (I-III) evidence, 20 with minority (IV-VI) evidence; majority post mean 0.93, minority post mean 0.89 → directional=0.00 (minority underserved)."
4,vasculitis,mild,0.0010,0.0506,0.0506,8,8,8,0.000,"8 edges, 8 with majority (I-III) evidence, 8 with minority (IV-VI) evidence; majority post mean 0.57, minority post mean 0.55 → directional=0.00 (minority underserved)."
5,neurodermatitis,mild,0.0008,0.0400,0.0412,21,21,21,0.000,"21 edges, 21 with majority (I-III) evidence, 21 with minority (IV-VI) evidence; majority post mean 0.91, minority post mean 0.89 → directional=0.00 (minority underserved)."
6,rosacea,mild,0.0005,0.0757,0.0768,24,24,24,0.000,"24 edges, 24 with majority (I-III) evidence, 24 with minority (IV-VI) evidence; majority post mean 0.74, minority post mean 0.73 → directional=0.00 (minority underserved)."
7,hemangioma,mild,0.0003,0.0147,0.0147,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.92, minority post mean 0.90 → directional=0.00 (minority underserved)."
8,pustular psoriasis,mild,0.0003,0.0169,0.0169,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.94, minority post mean 0.93 → directional=0.00 (minority underserved)."
9,seborrheic keratosis,mild,0.0002,0.0124,0.0124,40,40,40,0.000,"40 edges, 40 with majority (I-III) evidence, 40 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.94 → directional=0.00 (minority underserved)."
10,lymphangioma,mild,0.0001,0.0111,0.0111,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.94 → directional=0.00 (minority underserved)."
11,dermatomyositis,mild,0.0001,0.0099,0.0099,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.94 → directional=0.00 (minority underserved)."
12,basal cell carcinoma,mild,0.0001,0.0092,0.0092,2,2,2,0.000,"2 edges, 2 with majority (I-III) evidence, 2 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.95 → directional=0.00 (minority underserved)."
13,squamous cell carcinoma,mild,0.0001,0.0079,0.0079,4,4,4,0.000,"4 edges, 4 with majority (I-III) evidence, 4 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.96 → directional=0.00 (minority underserved)."
14,sarcoidosis,mild,0.0001,0.0073,0.0073,9,9,9,0.000,"9 edges, 9 with majority (I-III) evidence, 9 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.95 → directional=0.00 (minority underserved)."
15,melanoma,mild,0.0000,0.0068,0.0068,4,4,4,0.000,"4 edges, 4 with majority (I-III) evidence, 4 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.95 → directional=0.00 (minority underserved)."
16,erythema multiforme,mild,0.0000,0.0061,0.0061,9,9,9,0.000,"9 edges, 9 with majority (I-III) evidence, 9 with minority (IV-VI) evidence; majority post mean 0.96, minority post mean 0.95 → directional=0.00 (minority underserved)."
17,necrobiosis lipoidica,mild,0.0000,0.0042,0.0042,1,1,1,0.000,"1 edges, 1 with majority (I-III) evidence, 1 with minority (IV-VI) evidence; majority post mean 0.95, minority post mean 0.95 → directional=0.00 (minority underserved)."
